model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,llama3-8b-instruct|sonar|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.7307447674334521,0.6899640129606714
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,llama3-8b-instruct|sonar|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.4391695332120765,0.4008994312448935
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,llama3-8b-instruct|sonar|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4388346310572426,0.4008994312448935
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,llama3-8b-instruct|sonar|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.4464813014234714,0.4034011232051925
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,llama3-8b-instruct|sonar|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4460253744080604,0.4034011232051925
qwen3-8b,bm25,eng_Latn-hau_Latn,qwen3-8b|bm25|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.4536447489391202,0.4206715124574574
qwen3-8b,bm25,eng_Latn-hau_Latn,qwen3-8b|bm25|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4532108658505051,0.4206715124574574
qwen3-8b,bm25,eng_Latn-hau_Latn,qwen3-8b|bm25|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.4551648453702568,0.4198223931987295
qwen3-8b,bm25,eng_Latn-hau_Latn,qwen3-8b|bm25|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4545943217845302,0.4198223931987295
qwen3-8b,bm25,eng_Latn-plt_Latn,qwen3-8b|bm25|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5388329627191125,0.4320242797786539
qwen3-8b,bm25,eng_Latn-plt_Latn,qwen3-8b|bm25|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5377753688235999,0.4320242797786539
