model_tag,retriever,lang_pair,selector_method,num_samples,avg_demo_xcomet,avg_error_penalty,major_or_critical_demo_ratio,avg_original_rank,topk_overlap,source_semantic_diversity,comet22,delta_comet22_vs_topk
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,error_profile_rerank,1012,0.6326235079421871,1.6896746296050738,0.8042243083003953,5.296072134387352,0.8343626482213439,0.5559137913496783,0.526070528983952,0.004194333575106457
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,low_quality,1012,0.23488500105629384,3.681035264978817,0.825098814229249,25.779150197628457,0.1438982213438735,0.5658258783485359,0.4937344143100878,-0.028141781098757757
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,quality_only,1012,0.8735230694057442,0.4287047158037007,0.47060276679841895,25.320158102766797,0.16477272727272727,0.5652713105718818,0.5164550359953534,-0.005421159413492194
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,quality_rerank,1012,0.573447979635121,2.011534870077583,0.8586956521739131,4.605360671936759,0.9551630434782609,0.555887638178419,0.5213108382412331,-0.0005653571676124125
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,random_in_topn,1012,0.5453612503665591,2.1715024679124073,0.847949604743083,25.485795454545453,0.15847332015810275,0.5683979055976242,0.5029318531599676,-0.018944342248877977
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,retriever_topk,1012,0.5555979258789434,2.098997039119197,0.8583250988142292,4.5,1.0,0.5556092163498442,0.5218761954088456,0.0
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,error_filter,1012,0.8488397865147577,0.7313577676224697,0.5544713438735178,5.5040760869565215,0.8139822134387352,0.557348734755984,0.8103998803309066,-0.0010394693274977662
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,error_profile_rerank,1012,0.8371770880461151,0.8051148596871319,0.5240859683794467,5.076704545454546,0.8554841897233202,0.5563746663772794,0.8114668265456267,2.74768872223774e-05
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,low_quality,1012,0.4827989390499065,3.0076434833135544,0.9948122529644269,26.04187252964427,0.1495800395256917,0.5613020998859627,0.8100375521324369,-0.0014017975259674742
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,quality_only,1012,0.9754127779894549,0.06048480541116119,0.008769762845849802,25.28421442687747,0.16477272727272727,0.5618589753432295,0.8141461886288855,0.0027068389704811846
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,quality_rerank,1012,0.8011904364845646,1.0356782778127764,0.6247529644268774,4.581892292490118,0.9625741106719368,0.555717518231303,0.8085949736032562,-0.002844376055148201
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,random_in_topn,1012,0.7781739728525281,1.1789722861207477,0.6552618577075099,25.485795454545453,0.15847332015810275,0.5683979055976242,0.8136298905012636,0.00219054084285919
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,retriever_topk,1012,0.7861353057075896,1.1212345033258406,0.6393280632411067,4.5,1.0,0.5556092163498442,0.8114393496584044,0.0
