language,split,example_id,original_xcomet,retranslated_xcomet,keep_higher_xcomet,improved,kept_original,bottom20_rank
eng_Latn-hau_Latn,dev,601,0.294306933879852,0.664843022823334,0.664843022823334,1,0,82
eng_Latn-hau_Latn,dev,455,0.294552624225616,0.287141770124435,0.294552624225616,0,1,83
eng_Latn-hau_Latn,dev,114,0.296378195285797,0.624740600585938,0.624740600585938,1,0,84
eng_Latn-hau_Latn,dev,229,0.297271907329559,0.500293612480164,0.500293612480164,1,0,85
eng_Latn-hau_Latn,dev,371,0.300424486398697,0.249571353197098,0.300424486398697,0,1,86
eng_Latn-hau_Latn,dev,254,0.30051451921463,0.572404026985168,0.572404026985168,1,0,87
eng_Latn-hau_Latn,dev,624,0.301999121904373,0.8168785572052,0.8168785572052,1,0,88
eng_Latn-hau_Latn,dev,559,0.304413110017776,0.866882145404816,0.866882145404816,1,0,89
eng_Latn-hau_Latn,dev,509,0.305167198181152,0.411872893571854,0.411872893571854,1,0,90
eng_Latn-hau_Latn,dev,818,0.305483788251877,0.799462139606476,0.799462139606476,1,0,91
eng_Latn-hau_Latn,dev,983,0.305507481098175,0.263097643852234,0.305507481098175,0,1,92
eng_Latn-hau_Latn,dev,772,0.307240575551987,0.341906636953354,0.341906636953354,1,0,93
eng_Latn-hau_Latn,dev,361,0.307432323694229,0.621252417564392,0.621252417564392,1,0,94
eng_Latn-hau_Latn,dev,11,0.307840585708618,0.767304241657257,0.767304241657257,1,0,95
eng_Latn-hau_Latn,dev,43,0.308256924152374,0.760179162025452,0.760179162025452,1,0,96
eng_Latn-hau_Latn,dev,846,0.309090405702591,0.539645493030548,0.539645493030548,1,0,97
eng_Latn-hau_Latn,dev,175,0.309897780418396,0.864856243133545,0.864856243133545,1,0,98
eng_Latn-hau_Latn,dev,250,0.310003072023392,0.377323478460312,0.377323478460312,1,0,99
eng_Latn-hau_Latn,dev,151,0.310114443302155,0.497296750545502,0.497296750545502,1,0,100
eng_Latn-hau_Latn,dev,993,0.310447096824646,0.353863149881363,0.353863149881363,1,0,101
eng_Latn-hau_Latn,dev,681,0.312039077281952,0.566348075866699,0.566348075866699,1,0,102
eng_Latn-hau_Latn,dev,836,0.312168180942535,0.806430339813232,0.806430339813232,1,0,103
eng_Latn-hau_Latn,dev,83,0.3149234354496,0.648089647293091,0.648089647293091,1,0,104
eng_Latn-hau_Latn,dev,411,0.318494975566864,0.743224680423737,0.743224680423737,1,0,105
eng_Latn-hau_Latn,dev,762,0.319421291351318,0.458897411823273,0.458897411823273,1,0,106
eng_Latn-hau_Latn,dev,844,0.319454491138458,0.303523182868958,0.319454491138458,0,1,107
eng_Latn-hau_Latn,dev,451,0.321102112531662,0.239267453551292,0.321102112531662,0,1,108
eng_Latn-hau_Latn,dev,187,0.321992218494415,0.303277879953384,0.321992218494415,0,1,109
eng_Latn-hau_Latn,dev,933,0.323177099227905,0.28049224615097,0.323177099227905,0,1,110
eng_Latn-hau_Latn,dev,828,0.32488489151001,0.610702216625214,0.610702216625214,1,0,111
eng_Latn-hau_Latn,dev,558,0.325743705034256,0.533334612846375,0.533334612846375,1,0,112
eng_Latn-hau_Latn,dev,324,0.327749699354172,0.334074437618256,0.334074437618256,1,0,113
eng_Latn-hau_Latn,dev,292,0.328326165676117,0.377507328987122,0.377507328987122,1,0,114
eng_Latn-hau_Latn,dev,395,0.328446418046951,0.616777181625366,0.616777181625366,1,0,115
eng_Latn-hau_Latn,dev,787,0.329594373703003,0.940884947776794,0.940884947776794,1,0,116
eng_Latn-hau_Latn,dev,37,0.330026149749756,0.288642197847366,0.330026149749756,0,1,117
eng_Latn-hau_Latn,dev,764,0.331022143363953,0.710985004901886,0.710985004901886,1,0,118
eng_Latn-hau_Latn,dev,969,0.333497911691666,0.555958807468414,0.555958807468414,1,0,119
eng_Latn-hau_Latn,dev,950,0.334280878305435,0.370750784873962,0.370750784873962,1,0,120
eng_Latn-hau_Latn,dev,947,0.33594623208046,0.446149855852127,0.446149855852127,1,0,121
eng_Latn-hau_Latn,dev,673,0.340454459190369,0.653418779373169,0.653418779373169,1,0,122
eng_Latn-hau_Latn,dev,212,0.341202348470688,0.63861095905304,0.63861095905304,1,0,123
eng_Latn-hau_Latn,dev,443,0.34382438659668,0.987941265106201,0.987941265106201,1,0,124
eng_Latn-hau_Latn,dev,532,0.344102919101715,0.20359343290329,0.344102919101715,0,1,125
eng_Latn-hau_Latn,dev,267,0.345103144645691,0.479697376489639,0.479697376489639,1,0,126
eng_Latn-hau_Latn,dev,928,0.345251768827438,0.465561747550964,0.465561747550964,1,0,127
